rule_id,parent_rule_id,generation,depth,condition_count,rule_text,matched_count,win_count,loss_count,win_rate_pct,baseline_win_rate_pct,win_rate_lift_pct,match_rate_pct,base_score,broadness_penalty,loss_penalty,average_return_pct,total_return_pct,max_loss_pct,max_gain_pct,strategy_trade_count,strategy_accuracy_pct,strategy_avg_return_per_annum_pct,strategy_avg_return_per_month_pct,strategy_max_loss_pct,dominant_exit_reason,dominant_exit_count,entry_occurrence_count,exit_occurrence_count,base_occurrence_score
LLOYDSENGG_MINED_BASE_G0_C12,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_8_daily_volatility_5_daily >= 0.8645495401600428 AND close_ema_21_daily_range_5_pct >= 6.280967301429598,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
LLOYDSENGG_MINED_BASE_G0_C13,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_3_daily_volatility_5_daily >= 1.8141316287340417 AND close_ema_21_daily_range_5_pct >= 6.280967301429598,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
LLOYDSENGG_MINED_BASE_G0_C14,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_8_daily_range_5_pct >= 3.117710901412895 AND close_ema_21_daily_range_5_pct >= 6.280967301429598,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
LLOYDSENGG_MINED_BASE_G0_C15,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_3_daily_range_5_pct >= 5.878821482298 AND close_ema_21_daily_range_5_pct >= 6.280967301429598,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
LLOYDSENGG_MINED_BASE_G0_C16,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_21_daily_range_5_pct >= 6.280967301429598 AND close_ema_21_daily_volatility_5_daily >= 0.5048951676587204,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
LLOYDSENGG_MINED_BASE_G0_C17,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_21_daily_range_5_pct >= 6.280967301429598 AND close_ema_8_daily_volatility_5_daily >= 1.0367159490053137,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
LLOYDSENGG_MINED_BASE_G0_C18,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_21_daily_range_5_pct >= 6.280967301429598 AND close_ema_3_daily_range_5_pct >= 7.091176553732353,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
LLOYDSENGG_MINED_BASE_G0_C19,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_21_daily_range_5_pct >= 6.280967301429598 AND close_ema_3_daily_slope_pct >= 1.1401997467767693,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
LLOYDSENGG_MINED_BASE_G0_C20,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_21_daily_range_5_pct >= 6.280967301429598 AND close_ema_8_daily_volatility_5_daily >= 1.2672772609808338,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
LLOYDSENGG_MINED_BASE_G0_C21,,0,3,3,close_to_close_ema_3_daily_difference_pct >= 3.6112616349206315 AND close_ema_21_daily_range_5_pct >= 6.280967301429598 AND close_ema_13_daily_volatility_5_daily >= 0.6665343015434868,52,39,13,75,16.895715440582055,58.10428455941795,4.203718674211803,376.7668744227241,0,0.65,2.965150541878109,154.18782817766166,-9.254259760270903,9.980229451236628,29,65.51724137931035,28.26026763893769,2.3550223032448074,-9.395963899259856,max_holding_days,27,52,27,79
